GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE
Shot Chart Detail,0022100036,87,1630532,Franz Wagner,1610612753,Orlando Magic,1,5,13,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,255,1630532,Franz Wagner,1610612753,Orlando Magic,2,4,41,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,288,1630532,Franz Wagner,1610612753,Orlando Magic,2,2,38,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,296,1630532,Franz Wagner,1610612753,Orlando Magic,2,2,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,77,244,1,1,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,345,1630532,Franz Wagner,1610612753,Orlando Magic,3,11,38,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,52,1,0,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,481,1630532,Franz Wagner,1610612753,Orlando Magic,3,1,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,-14,1,0,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,489,1630532,Franz Wagner,1610612753,Orlando Magic,3,1,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,137,232,1,0,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,575,1630532,Franz Wagner,1610612753,Orlando Magic,4,7,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,0,1,0,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100036,633,1630532,Franz Wagner,1610612753,Orlando Magic,4,2,34,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-13,1,0,20211024,NYK,ORL,2021-22,R
Shot Chart Detail,0022100045,23,1630532,Franz Wagner,1610612753,Orlando Magic,1,9,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-56,62,1,1,20211025,MIA,ORL,2021-22,R
