video,game_id,event_id
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/22/57c793b7-38d3-e875-72fd-060099becec6_1280x720.mp4,0022100010,22
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/40/8293ece8-4aef-494f-36f5-26430d0d9eef_1280x720.mp4,0022100010,40
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/259/71aabc0e-ba6a-3613-24ee-52906f0b98cc_1280x720.mp4,0022100010,259
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/364/4cc98723-9213-7b53-4bfa-3698d266897d_1280x720.mp4,0022100010,364
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/450/723853fb-1e42-15ba-2ded-29ac58342b0b_1280x720.mp4,0022100010,450
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/567/01361287-a712-a89b-6a12-59a5ef6385ec_1280x720.mp4,0022100010,567
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/628/a2794166-d11e-0bb9-9784-9d190471e244_1280x720.mp4,0022100010,628
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/675/4724de91-e5b6-350f-0982-e118669b8c34_1280x720.mp4,0022100010,675
https://videos.nba.com/nba/pbp/media/2021/10/20/0022100010/700/99009964-330e-c9ef-8e7e-03d27efdbd99_1280x720.mp4,0022100010,700
https://videos.nba.com/nba/pbp/media/2021/10/22/0022100018/62/ca07400f-6f41-e543-0022-5e1e625c084c_1280x720.mp4,0022100018,62
https://videos.nba.com/nba/pbp/media/2021/10/22/0022100018/8/221030a2-e817-0318-6e90-7831e3559043_1280x720.mp4,0022100018,8
https://videos.nba.com/nba/pbp/media/2021/10/22/0022100018/37/d9069cc1-66f8-8821-25f3-aebb7d3eded0_1280x720.mp4,0022100018,37
https://videos.nba.com/nba/pbp/media/2021/10/22/0022100018/83/cafb914f-c7ec-e015-9f24-4170bf021bfb_1280x720.mp4,0022100018,83
https://videos.nba.com/nba/pbp/media/2021/10/22/0022100018/206/9f364640-3d5f-d65c-220d-7d68feb80a01_1280x720.mp4,0022100018,206
https://videos.nba.com/nba/pbp/media/2021/10/22/0022100018/271/eea1d12c-406d-947d-e815-a1c0a9076eac_1280x720.mp4,0022100018,271
