video,GAME_ID,GAME_EVENT_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE,MINUTES_RE
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/87/72ee4095-5e25-5c14-d87c-0239cadefa60,22100036,87,1,Cutting Dunk Shot,2,0,2.743567857578344e-06,-1.920497500304841e-05,1,24.10.2021,NYK,ORL,2021-22,R,05:13
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/255/dbdb6666-a660-f899-9b8e-028e67b7ba21,22100036,255,2,Reverse Layup Shot,2,1,4.115351786367516e-05,-2.1948542860626752e-05,1,24.10.2021,NYK,ORL,2021-22,R,04:41
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/288/4bb7bcf4-84fc-d97b-d929-d0836dc9674a,22100036,288,2,Running Dunk Shot,2,0,0.0,-5.487135715156688e-06,1,24.10.2021,NYK,ORL,2021-22,R,02:38
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/296/60e04ff0-2282-70b3-ef6c-cae2de0757e4,22100036,296,2,Jump Shot,3,25,0.00021125472503353247,-0.0006694305572491159,1,24.10.2021,NYK,ORL,2021-22,R,02:07
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/345/3dadb127-4169-0958-b80a-13fb6453ae1d,22100036,345,3,Driving Layup Shot,2,5,0.0,-0.00014266552859407388,0,24.10.2021,NYK,ORL,2021-22,R,11:38
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/481/cb3291f0-8f39-8fea-d0d2-8fae98b47396,22100036,481,3,Jump Shot,3,22,-0.0006282770393854408,3.840995000609682e-05,0,24.10.2021,NYK,ORL,2021-22,R,01:40
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/489/29905f00-3cef-c6b9-892e-b99a875d9886,22100036,489,3,Jump Shot,3,26,0.00037586879648823313,-0.0006365077429581758,0,24.10.2021,NYK,ORL,2021-22,R,01:02
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/575/9bad1913-a7f8-e831-3ee0-4d0951004e81,22100036,575,4,Layup Shot,2,0,-2.4692110718205095e-05,-0.0,0,24.10.2021,NYK,ORL,2021-22,R,07:16
https://videos.nba.com/nba/pbp/media/2021/10/24/0022100036/633/da3ed499-311a-3597-fd44-ba208e0c54bf,22100036,633,4,Jump Shot,3,22,0.0006282770393854408,3.566638214851847e-05,0,24.10.2021,NYK,ORL,2021-22,R,02:34
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/23/1d5b5ca3-5fb0-3e30-3077-0b5b730cf1c8,22100045,23,1,Driving Floating Jump Shot,2,8,-0.00015363980002438727,-0.0001701012071698573,1,25.10.2021,MIA,ORL,2021-22,R,09:55
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/32/5b6792db-95fc-2070-ebd5-78f52405d8c4,22100045,32,1,Jump Shot,3,26,0.0005020729179368369,-0.000534995732227777,1,25.10.2021,MIA,ORL,2021-22,R,09:07
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/178/5cd8babd-d630-36d1-8316-61ac94aff30f,22100045,178,2,Driving Dunk Shot,2,1,-2.4692110718205095e-05,-2.1948542860626752e-05,1,25.10.2021,MIA,ORL,2021-22,R,10:45
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/185/308f2a10-0332-3d4e-f965-47e615bd9c3b,22100045,185,2,Jump Shot,3,27,0.0004609194000731618,-0.0005843799536641872,0,25.10.2021,MIA,ORL,2021-22,R,10:19
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/212/0449e5ae-cd8c-a037-9dfd-a2864e41b1c1,22100045,212,2,Jump Shot,3,25,-0.0005075600536519937,-0.0004993293500792586,0,25.10.2021,MIA,ORL,2021-22,R,08:28
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/237/51bafd49-df9a-d015-13bd-04a8f9468c3c,22100045,237,2,Driving Hook Shot,2,6,4.115351786367516e-05,-0.0001618705035971223,1,25.10.2021,MIA,ORL,2021-22,R,06:48
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/240/4751b748-299c-2e6d-a7a6-00c0204dd99e,22100045,240,2,Jump Shot,3,28,-0.00015089623216680892,-0.0007654554322643579,0,25.10.2021,MIA,ORL,2021-22,R,06:21
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/250/79430d90-4edf-d230-fce5-7125ce4c3de9,22100045,250,2,Driving Layup Shot,2,1,2.7435678575783438e-05,-4.6640653578831844e-05,0,25.10.2021,MIA,ORL,2021-22,R,05:07
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/263/a679c420-41b4-dbf1-b97b-3117ff5ff9a5,22100045,263,2,Jump Shot,3,26,-0.0005322521643701988,-0.0004828679429337885,1,25.10.2021,MIA,ORL,2021-22,R,04:13
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/287/b97f559b-aa73-9b37-640a-ffdeb87eaff6,22100045,287,2,Jump Shot,3,25,0.0004883550786489452,-0.000518534325082307,0,25.10.2021,MIA,ORL,2021-22,R,02:59
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/332/1d509d5e-73df-1a31-b6d2-504f06bdf760,22100045,332,3,Driving Floating Jump Shot,2,9,-0.00010699914644555541,-0.00024692110718205093,1,25.10.2021,MIA,ORL,2021-22,R,11:46
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/362/9ff26758-14af-47d5-e8aa-b9de5ab568f7,22100045,362,3,Jump Shot,3,25,0.0002743567857578344,-0.0006447384465309108,0,25.10.2021,MIA,ORL,2021-22,R,09:05
